SS;TIPO_ERRO;DESC_ERRO;CÓD_ERRO;DETALHES_ERRO;VALOR_PECA;VALOR_TOTAL
7736993;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7736995;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7737023;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7737285;BICO;TROCA DO BICO NÃO DESARMA;;;80,37;80,37
7737337;SUPORTE AO CLIENTE;;;;0;0
7737341;SUPORTE AO CLIENTE;;;;0;0
7737607;COMPACTA;CHECK VÁLVULA;;;10;297,5
7737627;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;484,09
7737629;CPU;REPROGRAMAÇÃO;;;0;0
7737653;PARTIDA INICIAL;;;;0;751,3
7737655;PARTIDA INICIAL;;;;0;0
7737657;PARTIDA INICIAL;;;;0;0
7737735;PARTIDA INICIAL;;;;0;548,5
7737737;PARTIDA INICIAL;;;;0;0
7737739;PARTIDA INICIAL;;;;0;0
7737741;PARTIDA INICIAL;;;;0;0
7737867;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7738809;CHAMADO INDEVIDO;OUTROS;;;0;608,5
7739057;SUPORTE AO CLIENTE;;;;0;0
7739159;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7739805;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7739855;SUPORTE AO CLIENTE;;;;0;0
7739859;SUPORTE AO CLIENTE;;;;0;0
7739863;SUPORTE TÉCNICO;;;;0;0
7740913;PARTIDA INICIAL;;;;0;475,2
7740969;BICO;TROCA DO BICO POR DESARME ANTES DO TERMINO DO ABASTECIMENTO;;;0;215
7741015;BICO;TROCA DO BICO POR DESARME ANTES DO TERMINO DO ABASTECIMENTO;;;0;215
7741283;SUPORTE AO CLIENTE;;;;0;0
7741505;PARTIDA INICIAL;;;;0;1425
7741547;PARTIDA INICIAL;;;;0;469,4
7742183;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;860
7742261;SUPORTE AO CLIENTE;;;;0;0
7742267;SUPORTE TÉCNICO;;;;0;0
7742343;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7742503;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;0
7742507;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;0
7742515;BLOCO MEDIDOR;CALIBRAÇÃO POR AFERIÇÃO NÃO CONFORME;;;0;0
7742997;PARTIDA INICIAL;COM FALHA;;;0;517,37
7742999;PARTIDA INICIAL;;;;0;0
7743053;ADESIVO;;;;106,2;414
7743071;ADESIVO;;;;0;0
7743077;ADESIVO;;;;0;0
7743081;ADESIVO;;;;0;0
7743215;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7743219;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7743465;MOTOR;;;;0;1520
7743467;MOTOR;;;;0;0
7743471;MOTOR;;;;0;0
7743473;MOTOR;;;;0;0
7744659;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;548,9
7744673;CPU;CORREÇÃO DE ERRO;E350 - ERRO DE IDENTIFICAÇÃO DE HW/SW DO DISPLAY DE PU;;0;0
7744673;CPU;CORREÇÃO DE ERRO;E350 - ERRO DE IDENTIFICAÇÃO DE HW/SW DO DISPLAY DE PU;;0;0
7744911;PARTIDA INICIAL;;;;0;861,6
7744915;PARTIDA INICIAL;;;;0;0
7745131;PARTIDA INICIAL;;;;0;364,3
7746137;SUPORTE TÉCNICO;;;;0;0
7746223;PARTIDA INICIAL;;;;0;1055,9
7746225;PARTIDA INICIAL;COM FALHA;;;0;0
7746273;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7746275;CPU;CORREÇÃO DE ERRO;E350 - ERRO DE IDENTIFICAÇÃO DE HW/SW DO DISPLAY DE PU;;0;0
7746303;VÁLVULA SOLENÓIDE;TROCA DA VÁLVULA;;;0;1166,3
7746545;PARTIDA INICIAL;;;;0;408,5
7746597;CPU;CORREÇÃO DE ERRO;E630 - EXCEDIDO Nº MÁX DE TENTATIVAS DE ACESSO CONSECUTIVOS DO WSA;;0;0
7747211;PARTIDA INICIAL;;;;0;879
7747217;PARTIDA INICIAL;;;;0;0
7747219;PARTIDA INICIAL;;;;0;0
7747223;PARTIDA INICIAL;;;;0;0
7747225;PARTIDA INICIAL;;;;0;0
7747349;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;1297,64;1512,64
7747369;BICO;;;;0;0
7747843;CHAMADO INDEVIDO;LIMPEZA DE DISCO MAGNÉTICO;;;0;531,65
7747931;BICO;TROCA DO BICO POR PROBLEMA NO SENSOR;;;0;313,6
7747983;SUPORTE AO CLIENTE;;;;0;0
7748011;PARTIDA INICIAL;;;;0;709,4
7748015;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;241,1
7748173;PARTIDA INICIAL;;;;0;457,8
7748233;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7748261;PARTIDA INICIAL;;;;0;1612,5
7748281;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7748273;PARTIDA INICIAL;;;;0;0
7748277;PARTIDA INICIAL;;;;0;0
7748727;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7748523;BICO;TROCA DO BICO POR PROBLEMA NO SENSOR;;;85,59;399,19
7748691;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;241,1
7748729;CPU;CORREÇÃO DE ERRO;E503 - PORTA DO GABINETE HIDRÁULICO FOI ABERTA;;0;0
7748739;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7748821;CPU;CORREÇÃO DE ERRO;E501 - PORTA DA CABEÇA ELETRÔNICA FOI ABERTA;;0;0
7748871;SUPORTE TÉCNICO;;;;0;0
7748875;SUPORTE TÉCNICO;;;;0;0
7748877;SUPORTE TÉCNICO;;;;0;0
7748951;CPU;CORREÇÃO DE ERRO;E703 - DISPLAY INVALIDOU TRANSAÇÃO ASSINADA;;0;0
7749001;SUPORTE TÉCNICO;;;;0;0
7749003;SUPORTE TÉCNICO;;;;0;0
7749031;SUPORTE TÉCNICO;;;;0;0
7749167;PARTIDA INICIAL;;;;0;1472,8
7749169;PARTIDA INICIAL;;;;0;0
7749229;PARTIDA INICIAL;;;;0;1101,6
7749233;PARTIDA INICIAL;;;;0;0
7749295;PARTIDA INICIAL;;;;0;1124,1
7749299;PARTIDA INICIAL;;;;0;0
7749501;PARTIDA INICIAL;COM FALHA;;;0;315
7749537;PARTIDA INICIAL;;;;0;1019,9
7749541;PARTIDA INICIAL;;;;0;0
7749545;PARTIDA INICIAL;;;;0;0
7749549;PARTIDA INICIAL;;;;0;0
7749555;PARTIDA INICIAL;;;;0;0
7749609;PARTIDA INICIAL;;;;0;449,8
7749629;PARTIDA INICIAL;;;;0;431
7749667;PARTIDA INICIAL;;;;0;930
7749803;PARTIDA INICIAL;;;;0;0
7749807;PARTIDA INICIAL;;;;0;0
7749815;PARTIDA INICIAL;;;;0;0
7750145;BICO;TROCA DO BICO POR VAZAMENTO NA PONTEIRA;;;0;945,9
7750169;BICO;VAZAMENTO NA PONTEIRA;;;0;0
7750319;PARTIDA INICIAL;;;;0;415
7750329;PARTIDA INICIAL;;;;0;415
7750331;PARTIDA INICIAL;;;;0;0
7750337;SUPORTE TÉCNICO;;;;0;0
7750529;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750531;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750533;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750535;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750537;SOLICITAÇÃO DE ACESSO WSA;;;;0;0
7750551;TECLADO;MEMBRANA;;;0;751,6
7750623;PARTIDA INICIAL;;;;0;311,4
7750701;PARTIDA INICIAL;;;;0;1068,07
