SS;Tarefa;Ordem;Proprietário;Tipo;Serviço;Status;Data;Valor;Cod_Problema;Problema;Sumário;Assunto;Descrição;Cod_Resolução;Resolução;Posto;Chassi;Série;Descrição.1;RTM;Bandeira;Endereço;Mantenedor;Cliente;Resolvido;Sumário da Resolução;Aging1;Aging2
8060627;92668693;183002;Nogueira, Victor M;BOMBA;GARANTIA COMERCIAL BOMBA;ABERTO;03/06/2025 08:47:44;48800;WAY-63;CÓDIGO DE ERRO NO DISPLAY;[GCB][RTM] CHAMADO DE RETORNO - ENVIO DE 2 PLACAS CONTROLADORAS DE DISPLAY. CHAMADO DEVERÁ PERMANECER EM ESPERA. ESSE ATENDIMENTO DEVERÁ SER FEITO SOMENTE QUANDO E SE SOLICITADO PELA WAYNE. ORDEM: 183002.;POR GENTILEZA, PROCEDER DA SEGUINTE FORMA:;AGUARDAR RETORNO DA WAYNE ANTES DE ATENDER ESSE CHAMADO. MATERIAL ENVIADO DEVERÁ FICAR GUARDADO E SEPARADO PARA ESSE ATENDIMENTO DURANTE ESSE PERÍODO.;;;AUTO POSTO MONET LTDA;800651;W7GVIS-3928142;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3384P - 3928142 - 3/G3384P/BRWG/A3C2F2G6YC//B3C4E3G4L2/A2C2K2/F2/40,GRN50,GRN50,YEL50,YEL;RTM;;RUA, MARIA FETTE, 161, , VILA MERCEDES, SAO PAULO, SP, BR, BR, 03263000;Silva, Rodrigo - EBENEZER COMECIO E MANUTENCAO;AUTO POSTO MONET LTDA;;;;
8060625;92668692;182999;Lucas, Jefferson Monteiro da Silva;BOMBA;GARANTIA COMERCIAL BOMBA;FECHADO;03/06/2025 08:51:32;24400;WAY-36;BLOCO MEDIDOR - CONTAMINAÇÃO DE COMBUSTÍVEIS;[GCB] CHAMADO DE RETORNO - ENVIO DE BLOCOS MEDIDORES - REFERENTE AO CHAMADO 8050317. MATERIAL SERÁ ENVIADO ATRAVÉS DA ORDEM: 182999.;POR GENTILEZA, PROCEDER DA SEGUINTE FORMA:;RELATAR EM BOLETIM SÉRIE DE BLOCOS MEDIDORES RETIRADOS E SÉRIE DE BLOCOS MEDIDORES INSTALADOS.;WAY-134;ADAPTADORES ENGATE RÁPIDO ROSCADO - PENDENTE;POSTO LUIZA LTDA;816012;W7GCEN-4020450;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2204P - 4020450 - 3/G2204P/BRPBR/A3G6H7//B3C4E3G4L4/A7C2/F2/70,YEL70,YEL70,YEL70,YEL;;;RODOVIA, ROD BR-040, 318, KM 522 E KM 318, MORADA NOVA, CONTAGEM, MG, BR, BR, 32145480;SANTOS, VANDERLEY - VANDERLEY PEREIRA DOS SANTOS;POSTO LUIZA LTDA;05/06/2025 08:11:00;REALIZADO SUBSTITUIÇÃO DE 2 BLOCOS MEDIDORES. BLOCO MEDIDOR DE SÉRIE 183420 FOI REALIZADO 12 TENTATIVAS DE CALIBRAÇÃO, MAS BLOCO MEDIDDOR NÃO ACEITOU CALIBRAÇÃO.;2;11
8060633;92668695;;de Freitas, Fabio (Contractor) (Fabio (Contractor) de Freitas);BOMBA;PARTIDA INICIAL;FECHADO;03/06/2025 08:58:14;0;WAY-183;SOLICITAÇÃO DE PARTIDA INICIAL;[PI]SOLICITAÇÃO DE PARTIDA INICIAL PARA DIA: 05/06/2025;Partida inicial na bomba modelo: 3/G2204P-S.820756;CNPJ: 91.411.256/0042-15 CONTATO: Assis TELEFONE: (54)99915-6486 Partida inicial na bomba modelo: 3/G2204P-S.820756 **Adicionar a partida desta bomba ao chamado: 8060629;WAY-304;PARTIDA INICIAL;SANDER COMERCIO DE COMBUSTIVEIS LTDA;820756;W7GCEN-4051983;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2204P - 4051983 - 3/G2204P/BRPBR/A3F2G6H7//B3C4E3G4L4M/A7C2/F2/40,BLU40,BLU40,BLU40,BLU;;;AVENIDA, BRASIL LESTE, 2336, , PETROPOLIS, PASSO FUNDO, RS, BR, BR, 99050144;NEVES, - TEKSUL MANUTENÇÃO DE BOMBAS PARA COMBUSTÍVEL EIRELI;SANDER COMERCIO DE COMBUSTIVEIS LTDA;;PI NÃO REALIZADA. BOMBA NÃO INSTALADA PELO CLIENTE ATE O MOMENTO DA PARTIDA. HOUVE VISITA TÉCNICA.;18;18
8060637;92668697;;de Freitas, Fabio (Contractor) (Fabio (Contractor) de Freitas);BOMBA;PARTIDA INICIAL;FECHADO;03/06/2025 09:05:18;0;WAY-183;SOLICITAÇÃO DE PARTIDA INICIAL;[PI]SOLICITAÇÃO DE PARTIDA INICIAL PARA DIA: 05/06/2025;Partida inicial na bomba modelo: 3/G2204P-S.820757;CNPJ: 91.411.256/0042-15 CONTATO: Assis TELEFONE: (54)99915-6486 Partida inicial na bomba modelo: 3/G2204P-S.820757 **Adicionar a partida desta bomba ao chamado: 8060629;WAY-304;PARTIDA INICIAL;SANDER COMERCIO DE COMBUSTIVEIS LTDA;820757;W7GCEN-4051983;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2204P - 4051983 - 3/G2204P/BRPBR/A3F2G6H7//B3C4E3G4L4M/A7C2/F2/40,BLU40,BLU40,BLU40,BLU;;;AVENIDA, BRASIL LESTE, 2336, , PETROPOLIS, PASSO FUNDO, RS, BR, BR, 99050144;NEVES, - TEKSUL MANUTENÇÃO DE BOMBAS PARA COMBUSTÍVEL EIRELI;SANDER COMERCIO DE COMBUSTIVEIS LTDA;06/06/2025 16:34:00;PI NÃO REALIZADA. BOMBA NÃO INSTALADA POR PARTE DO CLIENTE ATE O MOMENTO DA PARTIDA. HOUVE VISITA TÉCNICA.;3;18
8060641;92668699;;de Freitas, Fabio (Contractor) (Fabio (Contractor) de Freitas);BOMBA;PARTIDA INICIAL;FECHADO;03/06/2025 09:08:02;0;WAY-183;SOLICITAÇÃO DE PARTIDA INICIAL;[PI]SOLICITAÇÃO DE PARTIDA INICIAL PARA DIA: 05/06/2025;Partida inicial na bomba modelo: 3/G2204P-S.820758;CNPJ: 91.411.256/0042-15 CONTATO: Assis TELEFONE: (54)99915-6486 Partida inicial na bomba modelo: 3/G2204P-S.820758 **Adicionar a partida desta bomba ao chamado: 8060629;WAY-305;PARTIDA INICIAL - COM FALHA;SANDER COMERCIO DE COMBUSTIVEIS LTDA;820758;W7GCEN-4051983;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2204P - 4051983 - 3/G2204P/BRPBR/A3F2G6H7//B3C4E3G4L4M/A7C2/F2/40,BLU40,BLU40,BLU40,BLU;;;AVENIDA, BRASIL LESTE, 2336, , PETROPOLIS, PASSO FUNDO, RS, BR, BR, 99050144;NEVES, - TEKSUL MANUTENÇÃO DE BOMBAS PARA COMBUSTÍVEL EIRELI;SANDER COMERCIO DE COMBUSTIVEIS LTDA;06/06/2025 16:27:00;PI REALIZADA. NO ATO DA PARTIDA, BICO APRESENTOU DEFEITO. EFETUADO A TROCA PELO SAW EM PROATIVIDADE.;3;18
8060669;92668713;;de Freitas, Fabio (Contractor) (Fabio (Contractor) de Freitas);BOMBA;PARTIDA INICIAL;FECHADO;03/06/2025 09:11:23;R$452,00;WAY-183;SOLICITAÇÃO DE PARTIDA INICIAL;[PI]SOLICITAÇÃO DE PARTIDA INICIAL PARA DIA: 05/06/2025;Partida inicial na bomba modelo: 3/G3390P-S.821229;CNPJ: 00.622.706/0001-95 CONTATO: Mauro TELEFONE: (21)96482-7590 / (21)96495-5557 Partida inicial na bomba modelo: 3/G3390P-S.821229;WAY-304;PARTIDA INICIAL;PIT STOP POSTO DE SERVICOS LTDA;821229;W7GVIS-4048261;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G3390P - 4048261 - 3/G3390P/BRPBR/A2C2F2G6H7//B3C4E3L4/A2C2K2/F2/40,GRN50,GRN50,BLU50,BLU50,BLU50,BLU;;;AVENIDA, BRASIL, 9107, , PENHA, RIO DE JANEIRO, RJ, BR, BR, 21030000;Mendes, Andre - M E A SILVA MENDES MANUTENCAO E REPARACAO ME;PIT STOP POSTO DE SERVICOS LTDA;04/06/2025 14:31:00;PI REALIZADA COM SUCESSO;1;1
8060725;;;dos Santos, Otacílio (Contractor) (Otacílio (Contractor) dos Santos);BOMBA;SUPORTE TECNICO BOMBA;FECHADO;03/06/2025 10:42:44;0;WAY-198;OUTROS;[STB] CLIENTE LEANDRO ENTROU EM CONTATO INFORMANDO QUE APÓS REALIZAÇÃO DO SERVIÇO DE LIMPEZA E CALIBRAÇÃO BOMBA VOLTOU A APRESENTAR FALHA NA LIBERAÇÃO DO PRODUTO;;;WAY-OUTROS;WAY-OUTROS;POSTO PRACA MARABA COMERCIO DE COMBUSTIVEIS LTDA;814679;W7HXH-4013967;"BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - H(W/LU)33-33SU - 4013967 - H(W/LU)33-33SU/BRIPNI/A3C2F2F4F12G6H7XJ2XL3//A2B5C11E3L4/A7B2C2M3XD/AF2/40,YEL;40,YEL;40,BLU;40,BLU;40,BLU;40,BLU";;;AREA, FOLHA 20 QUADRA 16 LOTE 38 A, SN, , NOVA MARABA, MARABA, PA, BR, BR, 68508010;;POSTO PRACA MARABA COMERCIO DE COMBUSTIVEIS LTDA;03/06/2025 15:08:07;INFORMADO QUE CASO FOI ENCAMINHADO PARA AVALIAÇÃO DO COMERCIAL PARA CONCESSÃO;0;0
8060793;;;dos Santos, Otacílio (Contractor) (Otacílio (Contractor) dos Santos);BOMBA;SUPORTE TECNICO BOMBA;FECHADO;03/06/2025 10:56:31;0;WAY-198;OUTROS;[STB] CLIENTE ENTROU EM CONTATO INFORMANDO QUE BOMBAS DE DIESEM ESTÃO TRAVADAS;;;WAY-OUTROS;WAY-OUTROS;REDE TJ DE COMBUSTIVEIS E DERIVADOS LTDA;813492;W7GCEN-4009286;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2209P - 4009286 - 3/G2209P/BRALE/A2G6H7//B3C4E3G4L4/A7C2/F2/70,GRN70,GRN70,GRN70,GRN;;;RODOVIA, BR 365, SN, KM 91, ZONA RURAL, JEQUITAI, MG, BR, BR, 39370000;;REDE TJ DE COMBUSTIVEIS E DERIVADOS LTDA;03/06/2025 10:56:31;INFORMADO QUE CASO FOI ENCAMINHADO PARA AVALIAÇÃO DO COMERCIAL PARA CONCESSÃO;0;0
8060797;;;dos Santos, Otacílio (Contractor) (Otacílio (Contractor) dos Santos);BOMBA;SUPORTE TECNICO BOMBA;FECHADO;03/06/2025 11:54:02;0;WAY-198;OUTROS;[STB] CLIENTE ENTROU EM CONTATO INFORMANDO QUE BOMBAS DE DIESEM ESTÃO TRAVADAS;;;WAY-OUTROS;WAY-OUTROS;REDE TJ DE COMBUSTIVEIS E DERIVADOS LTDA;813493;W7GCEN-4009286;BOMBA MEDIDORA DE COMBUSTIVEIS LIQUIDOS - 3/G2209P - 4009286 - 3/G2209P/BRALE/A2G6H7//B3C4E3G4L4/A7C2/F2/70,GRN70,GRN70,GRN70,GRN;;;RODOVIA, BR 365, SN, KM 91, ZONA RURAL, JEQUITAI, MG, BR, BR, 39370000;;REDE TJ DE COMBUSTIVEIS E DERIVADOS LTDA;03/06/2025 11:54:02;INFORMADO QUE CASO FOI ENCAMINHADO PARA AVALIAÇÃO DO COMERCIAL PARA CONCESSÃO;0;0
8060825;92668787;;QUIRINO, RICARDO;OUTRO;OUTRO;FECHADO;03/06/2025 11:59:52;2.202,00;WAY-7;AUTOMAÇÃO - ATG COM ERRO;[SPOT-A] MAGLINK NÃO INICIALIZA (SOMENTE TELA PRETA);AGENDAR ATENDIMENTO;NECESSÁRIO LEVAR UM CARTÃO MICRO SSD COM A IMAGEM DO MAGLINK-LX4 PARA REALIZAR A SUBSTITUIÇÃO. APÓS SUBSTITUIÇÃO DO CARTÃO MICRO SSD REALIZAR A CONFIGURAÇÃO DO EQUIPAMENTO. APÓS A CONFIGURAÇÃO ENCAMINHAR FOTOS E RELATÓRIO DO ATENDIMENTO.;WAY-261;MAGLINK - INOPERANTE;AUTO POSTO DE COMBUSTIVEIS PLANALTO LTDA;;;-;;;AV., OSMANI BARBOSA, 700, , CONJUNTO RESIDENCIAL JK, MONTES CLAROS, MG, BR, BR, 39404006;COSTA, GUSTAVO - CONSERTEC BALANCAS E BOMBAS LTDA ME;;11/06/2025 06:45:00;Realizado a troca do cartão de memoria e reconfigurado equipamento;6;9
