TIPO;PEDIDO;CODIGO_CLIENTE;CLIENTE;CIDADE;UF;PAIS;ITEM;NUM_NF;DT_NUM_NF;NUM_SERIAL;RTM;GARANTIA
WBP EQUIPAMENTO DOMESTICO;115005;182133;POSTO DE GASOLINA AMIGAO DE PARACAMBI LTDA ME;PARACAMBI;RJ;BR ;W7E123-3498047;174647;02/01/2020;662138;NAO;548
WBP EQUIPAMENTO DOMESTICO;115005;182133;POSTO DE GASOLINA AMIGAO DE PARACAMBI LTDA ME;PARACAMBI;RJ;BR ;W7E123-3498047;174647;02/01/2020;662139;NAO;548
WBP EQUIPAMENTO DOMESTICO;118013;160103;RAIZEN MIME COMBUSTIVEIS SA;IRANI;SC;BR ;W7HX2-3518506;174650;02/01/2020;664235;NAO;548
WBP EQUIPAMENTO DOMESTICO;118227;387701;V & Z COMBUSTIVEIS LTDA;BELEM DE MARIA;PE;BR ;W7HXH-3519464;174644;02/01/2020;664691;NAO;548
WBP EQUIPAMENTO DOMESTICO;118227;387701;V & Z COMBUSTIVEIS LTDA;BELEM DE MARIA;PE;BR ;W7HXH-3519462;174644;02/01/2020;664690;NAO;548
WBP EQUIPAMENTO DOMESTICO;118227;387701;V & Z COMBUSTIVEIS LTDA;BELEM DE MARIA;PE;BR ;W7HXH-3519466;174644;02/01/2020;664692;NAO;548
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522593;174648;02/01/2020;664884;NAO;548
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522591;174648;02/01/2020;664881;NAO;548
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522591;174648;02/01/2020;664882;NAO;548
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522591;174648;02/01/2020;664883;NAO;548
WBP EQUIPAMENTO DOMESTICO;118029;160103;RAIZEN MIME COMBUSTIVEIS SA;IRANI;SC;BR ;W7HX2-3518729;174740;07/01/2020;664255;NAO;548
WBP EQUIPAMENTO DOMESTICO;118708;124412;VIBRA ENERGIA S A;IPOJUCA;PE;BR ;3G2209P-3522652;174723;07/01/2020;664885;NAO;365
WBP EQUIPAMENTO DOMESTICO;118708;124412;VIBRA ENERGIA S A;IPOJUCA;PE;BR ;3G2209P-3522654;174723;07/01/2020;664886;NAO;365
WBP EQUIPAMENTO DOMESTICO;118708;124412;VIBRA ENERGIA S A;IPOJUCA;PE;BR ;3G2209P-3522654;174723;07/01/2020;664887;NAO;365
WBP EQUIPAMENTO DOMESTICO;118995;387688;REDE JOJO DE COMBUSTIVEIS II LTDA;JOAO PINHEIRO;MG;BR ;W7HXH-3524914;174829;08/01/2020;664344;NAO;365
WBP EQUIPAMENTO DOMESTICO;118995;387688;REDE JOJO DE COMBUSTIVEIS II LTDA;JOAO PINHEIRO;MG;BR ;W7HXH-3524914;174829;08/01/2020;664345;NAO;365
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;10/01/2020;664553;NAO;365
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;10/01/2020;664554;NAO;365
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;10/01/2020;664555;NAO;365
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;10/01/2020;664556;NAO;365
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;10/01/2020;664557;NAO;365
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;10/01/2020;664558;NAO;365
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;10/01/2020;664559;NAO;365
