TIPO;PEDIDO;CODIGO_CLIENTE;CLIENTE;CIDADE;UF;PAIS;ITEM;NUM_NF;DT_NUM_NF;NUM_SERIAL;RTM;Unnamed: 12;GARANTIA
WBP EQUIPAMENTO DOMESTICO;115005;182133;POSTO DE GASOLINA AMIGAO DE PARACAMBI LTDA ME;PARACAMBI;RJ;BR ;W7E123-3498047;174647;43832;662138;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;115005;182133;POSTO DE GASOLINA AMIGAO DE PARACAMBI LTDA ME;PARACAMBI;RJ;BR ;W7E123-3498047;174647;43832;662139;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118013;160103;RAIZEN MIME COMBUSTIVEIS SA;IRANI;SC;BR ;W7HX2-3518506;174650;43832;664235;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118227;387701;V & Z COMBUSTIVEIS LTDA;BELEM DE MARIA;PE;BR ;W7HXH-3519464;174644;43832;664691;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118227;387701;V & Z COMBUSTIVEIS LTDA;BELEM DE MARIA;PE;BR ;W7HXH-3519462;174644;43832;664690;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118227;387701;V & Z COMBUSTIVEIS LTDA;BELEM DE MARIA;PE;BR ;W7HXH-3519466;174644;43832;664692;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522593;174648;43832;664884;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522591;174648;43832;664881;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522591;174648;43832;664882;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118666;127271;CONDOR AUTO POSTO TARUMA LTDA;CURITIBA;PR;BR ;W7HXH-3522591;174648;43832;664883;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118029;160103;RAIZEN MIME COMBUSTIVEIS SA;IRANI;SC;BR ;W7HX2-3518729;174740;43837;664255;NAO;;GARANTIA DE 18 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118708;124412;VIBRA ENERGIA S A;IPOJUCA;PE;BR ;3G2209P-3522652;174723;43837;664885;NAO;;WARRANTY - 12 MONTHS AFTER START-UP
WBP EQUIPAMENTO DOMESTICO;118708;124412;VIBRA ENERGIA S A;IPOJUCA;PE;BR ;3G2209P-3522654;174723;43837;664886;NAO;;WARRANTY - 12 MONTHS AFTER START-UP
WBP EQUIPAMENTO DOMESTICO;118708;124412;VIBRA ENERGIA S A;IPOJUCA;PE;BR ;3G2209P-3522654;174723;43837;664887;NAO;;WARRANTY - 12 MONTHS AFTER START-UP
WBP EQUIPAMENTO DOMESTICO;118995;387688;REDE JOJO DE COMBUSTIVEIS II LTDA;JOAO PINHEIRO;MG;BR ;W7HXH-3524914;174829;43838;664344;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;118995;387688;REDE JOJO DE COMBUSTIVEIS II LTDA;JOAO PINHEIRO;MG;BR ;W7HXH-3524914;174829;43838;664345;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664553;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664554;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664555;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664556;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664557;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664558;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664559;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664560;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664561;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664562;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664563;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664564;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664565;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664566;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175056;43840;664567;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175055;43840;664553;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175055;43840;664554;NAO;;GARANTIA DE 12 MESES DA NFF
WBP EQUIPAMENTO DOMESTICO;117986;118574;TAURUS DISTRIBUIDORA DE PETROLEO LTDA;DOURADOS;MS;BR ;W7HX6-3518789;175055;43840;664555;NAO;;GARANTIA DE 12 MESES DA NFF
